26.11.2018                        Dynamic List Display                               1
--------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------
|BUKRS|LIFNR |GJAHR|BELNR     |BUZEI|BLDAT     |XBLNR           |BLART|         DMBTR|
|C04  |300533| 2018|5100481651|    1|30.08.2018|9130076665      |RE   |    16,641.86 |
|C04  |300533| 2018|5100481652|    1|30.08.2018|9130076664      |RE   |    15,305.50 |
|C04  |300533| 2018|5100481653|    1|30.08.2018|9130076663      |RE   |    15,305.50 |
|C04  |300533| 2018|5100481654|    1|30.08.2018|9130076662      |RE   |    19,851.30 |
|C04  |300533| 2018|5100481655|    1|30.08.2018|9130076661      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481656|    1|30.08.2018|9130076660      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481657|    1|30.08.2018|9130076659      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481658|    1|30.08.2018|9130076657      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481659|    1|30.08.2018|9130076655      |RE   |    19,324.50 |
|C04  |300533| 2018|5100481660|    1|30.08.2018|9130076652      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481718|    1|30.08.2018|9130076617      |RE   |    52,309.00 |
|C04  |300533| 2018|5100481719|    1|30.08.2018|9130076618      |RE   |     9,671.40 |
|C04  |300533| 2018|5100481720|    1|30.08.2018|9130076619      |RE   |    14,973.20 |
|C04  |300533| 2018|5100481721|    1|30.08.2018|9130076621      |RE   |     5,716.60 |
|C04  |300533| 2018|5100481722|    1|30.08.2018|9130076622      |RE   |    33,399.80 |
|C04  |300533| 2018|5100481723|    1|30.08.2018|9130076623      |RE   |    79,474.70 |
|C04  |300533| 2018|5100481724|    1|30.08.2018|9130076624      |RE   |    69,911.60 |
|C04  |300533| 2018|5100481725|    1|30.08.2018|9130076646      |RE   |     9,895.40 |
|C04  |300533| 2018|5100481726|    1|30.08.2018|9130076648      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481727|    1|30.08.2018|9130076649      |RE   |    18,617.50 |
|C04  |300533| 2018|5100481728|    1|30.08.2018|9130076650      |RE   |    19,021.50 |
|C04  |300533| 2018|5100481729|    1|30.08.2018|9130076651      |RE   |    17,813.26 |
|C04  |300533| 2018|5100483236|    1|06.09.2018|9130076785      |RE   |    18,368.76 |
|C04  |300533| 2018|5100483807|    1|06.09.2018|9130076786      |RE   |    18,217.26 |
|C04  |300533| 2018|5100483808|    1|06.09.2018|9130076787      |RE   |    17,457.20 |
|C04  |300533| 2018|5100483809|    1|06.09.2018|9130076788      |RE   |     4,704.40 |
|C04  |300533| 2018|5100483810|    1|06.09.2018|9130076789      |RE   |    17,813.26 |
|C04  |300533| 2018|5100483833|    1|06.09.2018|9130076790      |RE   |    17,813.26 |
|C04  |300533| 2018|5100483812|    1|06.09.2018|9130076791      |RE   |    17,813.26 |
|C04  |300533| 2018|5100483813|    1|06.09.2018|9130076792      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483814|    1|06.09.2018|9130076793      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483815|    1|06.09.2018|9130076794      |RE   |    19,324.50 |
|C04  |300533| 2018|5100483816|    1|06.09.2018|9130076795      |RE   |    19,324.50 |
|C04  |300533| 2018|5100483817|    1|06.09.2018|9130076796      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483818|    1|06.09.2018|9130076797      |RE   |    10,193.05 |
|C04  |300533| 2018|5100483819|    1|06.09.2018|9130076799      |RE   |    17,813.26 |
|C04  |300533| 2018|5100483820|    1|06.09.2018|9130076800      |RE   |    17,813.26 |
|C04  |300533| 2018|5100483821|    1|06.09.2018|9130076801      |RE   |    19,021.50 |
|C04  |300533| 2018|5100483822|    1|06.09.2018|9130076802      |RE   |    18,617.50 |
|C04  |300533| 2018|5100483823|    1|06.09.2018|9130076803      |RE   |    21,779.10 |
|C04  |300533| 2018|5100483824|    1|06.09.2018|9130076804      |RE   |    16,307.70 |
