_key_in,_key_out,_score,BUKRS,LIFNR,GJAHR,BELNR,BUZEI,XBLNR,BLART,DMBTR,BLDAT,BLDAT_clean,DMBTR_clean,XBLNR_clean,LIFNR_clean,_Similarity_XBLNR
5260,5260,1,C04  ,220234,2018,5100487482,1,MAL1850315      ,RE   ,17415.449,2018-08-21 00:00:00,2018-08-21 00:00:00,17415.449,MAL1850315      ,220234,1
5261,5261,1,C04  ,220234,2018,5100487485,1,MAL1850317      ,RE   ,8648.0996,2018-08-21 00:00:00,2018-08-21 00:00:00,8648.0996,MAL1850317      ,220234,1
5262,5262,1,C04  ,220234,2018,5100487490,1,MAL1850319      ,RE   ,5434.9502,2018-08-21 00:00:00,2018-08-21 00:00:00,5434.9502,MAL1850319      ,220234,1
5263,5263,1,C04  ,220234,2018,5100487494,1,MAL1850318      ,RE   ,1952.7,2018-08-21 00:00:00,2018-08-21 00:00:00,1952.7,MAL1850318      ,220234,1
5264,5264,1,C04  ,220234,2018,5100487496,1,MAL1850347      ,RE   ,4591.0498,2018-08-21 00:00:00,2018-08-21 00:00:00,4591.0498,MAL1850347      ,220234,1
3005,5264,0.90000004,C04  ,220234,2018,5100486850,1,MAL1850340      ,RE   ,4591.0498,2018-08-21 00:00:00,2018-08-21 00:00:00,4591.0498,MAL1850347      ,220234,0.90000004
3016,5264,0.90000004,C04  ,220234,2018,5100487555,1,MAL1850341      ,RE   ,4591.0498,2018-08-21 00:00:00,2018-08-21 00:00:00,4591.0498,MAL1850347      ,220234,0.90000004
5265,5265,1,C04  ,220234,2018,5100487500,1,MAL1850351      ,RE   ,1952.7,2018-08-21 00:00:00,2018-08-21 00:00:00,1952.7,MAL1850351      ,220234,1
5266,5266,1,C04  ,220234,2018,5100487506,1,MAL1850310      ,RE   ,5207.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,5207.3999,MAL1850310      ,220234,1
5267,5267,1,C04  ,220234,2018,5100487577,1,MAL1866928      ,RE   ,6140.1499,2018-09-29 00:00:00,2018-09-29 00:00:00,6140.1499,MAL1866928      ,220234,1
5455,5267,0.90000004,C04  ,220234,2018,5100488550,1,MAL1866923      ,RE   ,6140.1499,2018-09-29 00:00:00,2018-09-29 00:00:00,6140.1499,MAL1866928      ,220234,0.90000004
5268,5268,1,C04  ,220234,2018,5100487602,1,MAL1850324      ,RE   ,3060.75,2018-08-21 00:00:00,2018-08-21 00:00:00,3060.75,MAL1850324      ,220234,1
5269,5269,1,C04  ,220234,2018,5100487606,1,MAL1859274      ,RE   ,8208.1396,2018-08-29 00:00:00,2018-08-29 00:00:00,8208.1396,MAL1859274      ,220234,1
5270,5270,1,C04  ,220234,2018,5100487607,1,MAL1859275      ,RE   ,3060.75,2018-08-29 00:00:00,2018-08-29 00:00:00,3060.75,MAL1859275      ,220234,1
5271,5271,1,C04  ,220234,2018,5100487610,1,MAL1859276      ,RE   ,1301.85,2018-08-29 00:00:00,2018-08-29 00:00:00,1301.85,MAL1859276      ,220234,1
5272,5272,1,C04  ,220234,2018,5100487633,1,MAL1859160      ,RE   ,8640.1396,2018-08-29 00:00:00,2018-08-29 00:00:00,8640.1396,MAL1859160      ,220234,1
5273,5273,1,C04  ,220234,2018,5100487613,1,MAL1858338      ,RE   ,8215.6504,2018-08-29 00:00:00,2018-08-29 00:00:00,8215.6504,MAL1858338      ,220234,1
5274,5274,1,C04  ,220234,2018,5100487614,1,MAL1859260      ,RE   ,9201.5996,2018-08-29 00:00:00,2018-08-29 00:00:00,9201.5996,MAL1859260      ,220234,1
5275,5275,1,C04  ,220234,2018,5100487615,1,MAL1860077      ,RE   ,1509.15,2018-08-31 00:00:00,2018-08-31 00:00:00,1509.15,MAL1860077      ,220234,1
5276,5276,1,C04  ,220234,2018,5100487617,1,MAL1850296      ,RE   ,5434.9502,2018-08-21 00:00:00,2018-08-21 00:00:00,5434.9502,MAL1850296      ,220234,1
5277,5277,1,C04  ,220234,2018,5100487630,1,MAL1858088      ,RE   ,5152.2002,2018-08-29 00:00:00,2018-08-29 00:00:00,5152.2002,MAL1858088      ,220234,1
5278,5278,1,C04  ,220234,2018,5100487633,1,MAL1850304      ,RE   ,9182.0996,2018-08-21 00:00:00,2018-08-21 00:00:00,9182.0996,MAL1850304      ,220234,1
5279,5279,1,C04  ,220234,2018,5100487634,1,MAL1857814      ,RE   ,2524.5,2018-08-29 00:00:00,2018-08-29 00:00:00,2524.5,MAL1857814      ,220234,1
5280,5280,1,C04  ,220234,2018,5100487635,1,MAL1857184      ,RE   ,6087.1499,2018-08-27 00:00:00,2018-08-27 00:00:00,6087.1499,MAL1857184      ,220234,1
5281,5281,1,C04  ,220234,2018,5100487637,1,MAL1850282      ,RE   ,16672.051,2018-08-21 00:00:00,2018-08-21 00:00:00,16672.051,MAL1850282      ,220234,1
5282,5282,1,C04  ,220234,2018,5100487639,1,MAL1859088      ,RE   ,5434.9502,2018-08-29 00:00:00,2018-08-29 00:00:00,5434.9502,MAL1859088      ,220234,1
5283,5283,1,C04  ,220234,2018,5100487643,1,MAL1859124      ,RE   ,9676.9502,2018-08-29 00:00:00,2018-08-29 00:00:00,9676.9502,MAL1859124      ,220234,1
5284,5284,1,C04  ,220234,2018,5100487644,1,MAL1850276      ,RE   ,27546.301,2018-08-21 00:00:00,2018-08-21 00:00:00,27546.301,MAL1850276      ,220234,1
5285,5285,1,C04  ,220234,2018,5100487646,1,MAL1859097      ,RE   ,13319.25,2018-08-29 00:00:00,2018-08-29 00:00:00,13319.25,MAL1859097      ,220234,1
5286,5286,1,C04  ,220234,2018,5100487648,1,MAL1850360      ,RE   ,4591.0498,2018-08-21 00:00:00,2018-08-21 00:00:00,4591.0498,MAL1850360      ,220234,1
5288,5288,1,C04  ,220234,2018,5100487652,1,MAL1850309      ,RE   ,1301.85,2018-08-21 00:00:00,2018-08-21 00:00:00,1301.85,MAL1850309      ,220234,1
5297,5288,0.90000004,C04  ,220234,2018,5100487667,1,MAL1850300      ,RE   ,1301.85,2018-08-21 00:00:00,2018-08-21 00:00:00,1301.85,MAL1850309      ,220234,0.90000004
5289,5289,1,C04  ,220234,2018,5100487653,1,MAL1859039      ,RE   ,3623.25,2018-08-29 00:00:00,2018-08-29 00:00:00,3623.25,MAL1859039      ,220234,1
5290,5290,1,C04  ,220234,2018,5100487654,1,MAL1850293      ,RE   ,9262.2002,2018-08-21 00:00:00,2018-08-21 00:00:00,9262.2002,MAL1850293      ,220234,1
5291,5291,1,C04  ,220234,2018,5100487655,1,MAL1860108      ,RE   ,5434.9502,2018-08-31 00:00:00,2018-08-31 00:00:00,5434.9502,MAL1860108      ,220234,1
5292,5292,1,C04  ,220234,2018,5100487656,1,MAL1859005      ,RE   ,1386,2018-08-29 00:00:00,2018-08-29 00:00:00,1386,MAL1859005      ,220234,1
5294,5294,1,C04  ,220234,2018,5100487660,1,MAL1846980      ,RE   ,1039.5,2018-08-20 00:00:00,2018-08-20 00:00:00,1039.5,MAL1846980      ,220234,1
5295,5295,1,C04  ,220234,2018,5100487661,1,MAL1859236      ,RE   ,10373.7,2018-08-29 00:00:00,2018-08-29 00:00:00,10373.7,MAL1859236      ,220234,1
5296,5296,1,C04  ,220234,2018,5100487664,1,MAL1850285      ,RE   ,25944.301,2018-08-21 00:00:00,2018-08-21 00:00:00,25944.301,MAL1850285      ,220234,1
5298,5298,1,C04  ,220234,2018,5100487687,1,MAL1864329      ,RE   ,4058.1001,2018-09-27 00:00:00,2018-09-27 00:00:00,4058.1001,MAL1864329      ,220234,1
